,name,album,artist,image,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
35,白日,CEREMONY,King Gnu,https://i.scdn.co/image/ab67616d0000b273a2272c8966971b7b04066241,2020-01-15,276373,67,1,1,0.599,0.562,0.891,0.0,0.322,-3.242,0.116,93.029,4,0.694
36,創造,創造,Gen Hoshino,https://i.scdn.co/image/ab67616d0000b273ce4081b6a3e970986ef3c331,2021-02-17,234166,54,10,0,0.724,0.00617,0.808,0.000199,0.315,-4.877,0.0756,95.007,4,0.836
37,香水,すっからかん,Eito,https://i.scdn.co/image/ab67616d0000b27398b2907b3880d280ed45777f,2020-12-24,255226,56,3,1,0.85,0.824,0.34,0.0,0.0882,-7.37,0.042,121.759,4,0.774
38,ただ君に晴れ,負け犬にアンコールはいらない,ヨルシカ,https://i.scdn.co/image/ab67616d0000b27328b535c92629e3c8d20ec242,2018-05-09,198971,64,5,1,0.679,0.343,0.834,5.74e-06,0.119,-3.223,0.032,139.996,4,0.962
39,恋人ごっこ,hope,Macaroni Empitsu,https://i.scdn.co/image/ab67616d0000b273ad388532d6600cc70e57139d,2020-04-01,200219,65,1,1,0.438,0.124,0.646,0.0,0.0603,-5.301,0.0361,102.033,4,0.745
40,点描の唄,青と夏,Mrs. GREEN APPLE,https://i.scdn.co/image/ab67616d0000b273b68755a98268d7aa297549d5,2018-07-31,307066,72,0,1,0.502,0.447,0.632,0.0,0.103,-4.612,0.0273,152.014,4,0.308
41,マリーゴールド,瞬間的シックスセンス,Aimyon,https://i.scdn.co/image/ab67616d0000b273c12d785df5dbf2b15ec49504,2019-02-13,306626,63,2,1,0.545,0.0452,0.745,0.0,0.0907,-3.098,0.0286,106.094,4,0.413
42,キンモクセイ,イラつくときはいつだって,オレンジスパイニクラブ,https://i.scdn.co/image/ab67616d0000b2739897936987720656a44ace99,2020-01-22,231435,0,5,1,0.554,0.0991,0.761,0.0,0.145,-3.937,0.034,105.041,4,0.327
43,Stay Gold,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,https://i.scdn.co/image/ab67616d0000b273da9c76ed020a7894443a3f97,2020-07-14,243266,70,1,1,0.723,0.0892,0.634,0.0,0.0787,-5.415,0.0542,129.017,4,0.582
44,Laughter,Laughter,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b273e3487c07d29e73d46211ac73,2020-07-10,350299,52,4,1,0.396,0.023,0.801,0.0,0.138,-4.673,0.035,159.769,4,0.366
45,ぎゅっと。,ぎゅっと。,もさを。,https://i.scdn.co/image/ab67616d0000b2732e6ca2b9fca8581c4a84d107,2020-07-27,269746,61,4,1,0.773,0.814,0.363,0.0,0.103,-7.304,0.0383,119.994,4,0.774
46,Life Goes On,BE,BTS,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29,2020-11-20,207481,36,1,1,0.566,0.00691,0.716,0.0,0.37,-5.733,0.0424,81.068,4,0.45
47,再会 (produced by Ayase),再会 (produced by Ayase),LiSA,https://i.scdn.co/image/ab67616d0000b273d2674895674a060312dff2b7,2020-11-16,242166,61,7,0,0.713,0.315,0.606,0.0,0.262,-5.718,0.0328,90.005,4,0.492
48,インフェルノ,Attitude,Mrs. GREEN APPLE,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,2019-10-01,211600,65,4,1,0.533,0.00894,0.918,0.0,0.643,-2.095,0.0616,92.504,4,0.662
49,Myra,Myra,Tani Yuuki,https://i.scdn.co/image/ab67616d0000b273ad50852d2beb3c94d0163b55,2020-07-01,255000,56,0,1,0.683,0.71,0.318,9.05e-05,0.167,-13.335,0.0349,144.027,4,0.587
50,366日,HeartY,HY,https://i.scdn.co/image/ab67616d0000b2734b2a6b13220d12cfa41cf2d1,2008-04-16,352506,58,8,1,0.378,0.675,0.426,0.0,0.207,-7.314,0.0308,152.03,4,0.184
51,優しいあの子,見っけ,SPITZ,https://i.scdn.co/image/ab67616d0000b273352479ce21394b87166d748a,2019-10-09,204466,52,2,1,0.56,0.224,0.846,0.0,0.148,-4.054,0.03,102.045,4,0.565
52,AM11:00,Street Story,HY,https://i.scdn.co/image/ab67616d0000b273a21a8fe0d1ce88504f3ec724,2003-04-16,319160,53,9,1,0.601,0.035,0.688,0.0,0.0978,-5.255,0.0288,98.015,4,0.252
